EntryID	Substrate	EnzymeType	PubMedID	Organism	UniprotID	ECNumber	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	Temperature
4508	Ethanol;NAD+	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		140.5		-	s^(-1)	25.0
4508	Ethanol;NAD+	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NAD+	5.7E-4		-	M	25.0
4508	Ethanol;NAD+	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NAD+	5.0E-5	0.02	-	M	25.0
4508	Ethanol;NAD+	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NAD+	246666.7		-	M^(-1)*s^(-1)	25.0
4509	Ethanol;NAD+	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	Ethanol	0.001	0.2	-	M	25.0
4509	Ethanol;NAD+	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		85.83333		-	s^(-1)	25.0
4509	Ethanol;NAD+	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	Ethanol	8.5E-4		-	M	25.0
4509	Ethanol;NAD+	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	Ethanol	101000.0		-	M^(-1)*s^(-1)	25.0
4510	NAD+;Ethanol	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	Ethanol	117666.7		-	M^(-1)*s^(-1)	25.0
4510	NAD+;Ethanol	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	Ethanol	0.001	0.2	-	M	25.0
4510	NAD+;Ethanol	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	Ethanol	0.00102		-	M	25.0
4510	NAD+;Ethanol	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		120.0		-	s^(-1)	25.0
4511	NAD+;Ethanol	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	Ethanol	7.4E-4		-	M	25.0
4511	NAD+;Ethanol	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	Ethanol	220000.0		-	M^(-1)*s^(-1)	25.0
4511	NAD+;Ethanol	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		163.3333		-	s^(-1)	25.0
4511	NAD+;Ethanol	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	Ethanol	0.001	0.2	-	M	25.0
4512	NAD+;Ethanol	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	Ethanol	506666.7		-	M^(-1)*s^(-1)	25.0
4512	NAD+;Ethanol	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		253.3333		-	s^(-1)	25.0
4512	NAD+;Ethanol	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	Ethanol	0.001	0.2	-	M	25.0
4512	NAD+;Ethanol	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	Ethanol	5.0E-4		-	M	25.0
4513	NADH;Acetaldehyde;H+	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		1000.0		-	s^(-1)	25.0
4513	NADH;Acetaldehyde;H+	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADH	2.5E-5		-	M	25.0
4513	NADH;Acetaldehyde;H+	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADH	2.0E-6	4.0E-4	-	M	25.0
4513	NADH;Acetaldehyde;H+	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADH	4.0E7		-	M^(-1)*s^(-1)	25.0
4514	H+;Acetaldehyde;NADH	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		678.3333		-	s^(-1)	25.0
4514	H+;Acetaldehyde;NADH	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADH	2.0E-6	4.0E-4	-	M	25.0
4514	H+;Acetaldehyde;NADH	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADH	4.5E-5		-	M	25.0
4514	H+;Acetaldehyde;NADH	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADH	1.506667E7		-	M^(-1)*s^(-1)	25.0
4515	Acetaldehyde;H+;NADH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		1056.667		-	s^(-1)	25.0
4515	Acetaldehyde;H+;NADH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADH	2.0E-6	4.0E-4	-	M	25.0
4515	Acetaldehyde;H+;NADH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADH	7.0E-5		-	M	25.0
4515	Acetaldehyde;H+;NADH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADH	1.508333E7		-	M^(-1)*s^(-1)	25.0
4516	H+;NADH;Acetaldehyde	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADH	2.0E-6	4.0E-4	-	M	25.0
4516	H+;NADH;Acetaldehyde	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADH	1.108333E7		-	M^(-1)*s^(-1)	25.0
4516	H+;NADH;Acetaldehyde	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADH	6.0E-5		-	M	25.0
4516	H+;NADH;Acetaldehyde	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		665.0		-	s^(-1)	25.0
4517	Acetaldehyde;H+;NADH	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	Acetaldehyde	2.2E-4		-	M	25.0
4517	Acetaldehyde;H+;NADH	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	Acetaldehyde	3333333.0		-	M^(-1)*s^(-1)	25.0
4517	Acetaldehyde;H+;NADH	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		726.6667		-	s^(-1)	25.0
4517	Acetaldehyde;H+;NADH	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	Acetaldehyde	1.0E-4	0.05	-	M	25.0
4518	H+;Acetaldehyde;NADH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		430.0		-	s^(-1)	25.0
4518	H+;Acetaldehyde;NADH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	Acetaldehyde	271666.7		-	M^(-1)*s^(-1)	25.0
4518	H+;Acetaldehyde;NADH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	Acetaldehyde	0.00158		-	M	25.0
4518	H+;Acetaldehyde;NADH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	Acetaldehyde	1.0E-4	0.05	-	M	25.0
4519	NADH;H+;Acetaldehyde	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	Acetaldehyde	1.0E-4	0.05	-	M	25.0
4519	NADH;H+;Acetaldehyde	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	Acetaldehyde	0.0021		-	M	25.0
4519	NADH;H+;Acetaldehyde	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	Acetaldehyde	506666.7		-	M^(-1)*s^(-1)	25.0
4519	NADH;H+;Acetaldehyde	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		1063.333		-	s^(-1)	25.0
4520	Acetaldehyde;H+;NADH	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	Acetaldehyde	1.0E-4	0.05	-	M	25.0
4520	Acetaldehyde;H+;NADH	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	Acetaldehyde	490000.0		-	M^(-1)*s^(-1)	25.0
4520	Acetaldehyde;H+;NADH	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		1143.333		-	s^(-1)	25.0
4520	Acetaldehyde;H+;NADH	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	Acetaldehyde	0.00233		-	M	25.0
4521	Ethanol;NADP+	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADP+	7333.333		-	M^(-1)*s^(-1)	25.0
4521	Ethanol;NADP+	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		19.33333		-	s^(-1)	25.0
4521	Ethanol;NADP+	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADP+	5.0E-5	0.02	-	M	25.0
4521	Ethanol;NADP+	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADP+	0.00264		-	M	25.0
4522	Ethanol;NADP+	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		27.33333		-	s^(-1)	25.0
4522	Ethanol;NADP+	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADP+	5.0E-5	0.02	-	M	25.0
4522	Ethanol;NADP+	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADP+	9866.667		-	M^(-1)*s^(-1)	25.0
4522	Ethanol;NADP+	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADP+	0.00277		-	M	25.0
4523	Ethanol;NADP+	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		10.98333		-	s^(-1)	25.0
4523	Ethanol;NADP+	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADP+	1766.667		-	M^(-1)*s^(-1)	25.0
4523	Ethanol;NADP+	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADP+	0.00621		-	M	25.0
4523	Ethanol;NADP+	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADP+	5.0E-5	0.02	-	M	25.0
4524	NADP+;Ethanol	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		25.66667		-	s^(-1)	25.0
4524	NADP+;Ethanol	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADP+	0.0055		-	M	25.0
4524	NADP+;Ethanol	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADP+	5.0E-5	0.02	-	M	25.0
4524	NADP+;Ethanol	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADP+	4666.667		-	M^(-1)*s^(-1)	25.0
4525	NADPH;Acetaldehyde	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADPH	621666.7		-	M^(-1)*s^(-1)	25.0
4525	NADPH;Acetaldehyde	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADPH	2.0E-5	4.0E-4	-	M	25.0
4525	NADPH;Acetaldehyde	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		29.83333		-	s^(-1)	25.0
4525	NADPH;Acetaldehyde	mutant ADHIII G225A-A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADPH	5.0E-5		-	M	25.0
4526	Acetaldehyde;NADPH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADPH	2.0E-5	4.0E-4	-	M	25.0
4526	Acetaldehyde;NADPH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADPH	33000.0		-	M^(-1)*s^(-1)	25.0
4526	Acetaldehyde;NADPH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADPH	3.7E-4		-	M	25.0
4526	Acetaldehyde;NADPH	mutant ADHIII A274F	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		12.21667		-	s^(-1)	25.0
4527	Acetaldehyde;NADPH	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADPH	71166.67		-	M^(-1)*s^(-1)	25.0
4527	Acetaldehyde;NADPH	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		26.33333		-	s^(-1)	25.0
4527	Acetaldehyde;NADPH	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADPH	3.7E-4		-	M	25.0
4527	Acetaldehyde;NADPH	mutant ADHIII G225A	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADPH	2.0E-5	4.0E-4	-	M	25.0
4528	NADPH;Acetaldehyde	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat		28.33333		-	s^(-1)	25.0
4528	NADPH;Acetaldehyde	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	kcat/Km	NADPH	134833.3		-	M^(-1)*s^(-1)	25.0
4528	NADPH;Acetaldehyde	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	concentration	NADPH	2.0E-5	4.0E-4	-	M	25.0
4528	NADPH;Acetaldehyde	wildtype ADHIII	15556281	Kluyveromyces lactis	P49384	1.1.1.1	Km	NADPH	2.1E-4		-	M	25.0
6441	NAD+;Ethanol	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat		16.66667		-	s^(-1)	25.0
6441	NAD+;Ethanol	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat/Km	Ethanol	3.333333		-	M^(-1)*s^(-1)	25.0
6441	NAD+;Ethanol	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	Km	Ethanol	5.0		-	M	25.0
6441	NAD+;Ethanol	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	Ethanol			-	-	25.0
6441	NAD+;Ethanol	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	NAD+	0.004		-	M	25.0
6441	NAD+;Ethanol	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	unknown compound			-	-	25.0
6442	1-Butanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat/Km	1-Butanol	61.66667		-	M^(-1)*s^(-1)	25.0
6442	1-Butanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	unknown compound			-	-	25.0
6442	1-Butanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	NAD+	0.004		-	M	25.0
6442	1-Butanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat		14.33333		-	s^(-1)	25.0
6442	1-Butanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	Km	1-Butanol	0.23		-	M	25.0
6442	1-Butanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	1-Butanol			-	-	25.0
6443	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat		5.0		-	s^(-1)	25.0
6443	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	NAD+	0.004		-	M	25.0
6443	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	1-Octanol			-	-	25.0
6443	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	unknown compound			-	-	25.0
6443	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat/Km	1-Octanol	10000.0		-	M^(-1)*s^(-1)	25.0
6443	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	Km	1-Octanol	5.0E-4		-	M	25.0
6444	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat				-	-	25.0
6444	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	unknown compound			-	-	25.0
6444	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	NAD+			-	-	25.0
6444	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	Km	NAD+	2.0E-4		-	M	25.0
6444	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat/Km	NAD+			-	-	25.0
6444	1-Octanol;NAD+	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	1-Octanol	0.001		-	M	25.0
6445	Butanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat/Km	Butanal	52000.0		-	M^(-1)*s^(-1)	25.0
6445	Butanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat		156.0		-	s^(-1)	25.0
6445	Butanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	unknown compound			-	-	25.0
6445	Butanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	Butanal			-	-	25.0
6445	Butanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	NADH	7.7E-4		-	M	25.0
6445	Butanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	Km	Butanal	0.003		-	M	25.0
6446	1-Octanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	NADH	7.7E-4		-	M	25.0
6446	1-Octanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	1-Octanal			-	-	25.0
6446	1-Octanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	unknown compound			-	-	25.0
6446	1-Octanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat/Km	1-Octanal	1300000.0		-	M^(-1)*s^(-1)	25.0
6446	1-Octanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	Km	1-Octanal	3.0E-4		-	M	25.0
6446	1-Octanal;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat		390.0		-	s^(-1)	25.0
6447	m-Nitrobenzaldehyde;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	Km	m-Nitrobenzaldehyde	0.0014		-	M	25.0
6447	m-Nitrobenzaldehyde;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	m-Nitrobenzaldehyde			-	-	25.0
6447	m-Nitrobenzaldehyde;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat		980.0		-	s^(-1)	25.0
6447	m-Nitrobenzaldehyde;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	NAD+	0.004		-	M	25.0
6447	m-Nitrobenzaldehyde;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat/Km	m-Nitrobenzaldehyde	700000.0		-	M^(-1)*s^(-1)	25.0
6447	m-Nitrobenzaldehyde;NADH	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	unknown compound			-	-	25.0
6448	NADH;1-Octanal	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	unknown compound			-	-	25.0
6448	NADH;1-Octanal	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat/Km	NADH			-	-	25.0
6448	NADH;1-Octanal	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	NADH			-	-	25.0
6448	NADH;1-Octanal	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	kcat				-	-	25.0
6448	NADH;1-Octanal	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	Km	NADH	5.0E-5		-	M	25.0
6448	NADH;1-Octanal	wildtype ADH-1	3816781	Rattus norvegicus	P06757	1.1.1.1	concentration	1-Octanal	0.00177		-	M	25.0
6449	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	Km	1-Octanol	0.0016		-	M	25.0
6449	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	kcat/Km	1-Octanol	41.66667		-	M^(-1)*s^(-1)	25.0
6449	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	kcat		0.06666667		-	s^(-1)	25.0
6449	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	concentration	NAD+	0.0024		-	M	25.0
6449	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	concentration	1-Octanol			-	-	25.0
6449	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	concentration	unknown compound			-	-	25.0
6450	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	Km	NAD+	4.0E-5		-	M	25.0
6450	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	kcat/Km	NAD+			-	-	25.0
6450	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	kcat				-	-	25.0
6450	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	concentration	1-Octanol	0.0015		-	M	25.0
6450	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	concentration	NAD+			-	-	25.0
6450	NAD+;1-Octanol	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	concentration	unknown compound			-	-	25.0
6451	NADH;1-Octanal	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	concentration	1-Octanal			-	-	25.0
6451	NADH;1-Octanal	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	Km	1-Octanal	0.0035		-	M	25.0
6451	NADH;1-Octanal	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	concentration	NADH	2.62E-4		-	M	25.0
6451	NADH;1-Octanal	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	kcat/Km	1-Octanal	1166.667		-	M^(-1)*s^(-1)	25.0
6451	NADH;1-Octanal	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	kcat		4.166667		-	s^(-1)	25.0
6451	NADH;1-Octanal	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	concentration	unknown compound			-	-	25.0
6452	NADH;1-Octanal	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	kcat/Km	NADH			-	-	25.0
6452	NADH;1-Octanal	wildtype ADH-2	3816781	Rattus norvegicus	P12711	1.1.1.1	kcat				-	-	25.0
